id_etudiant,prenom,nom,age,ville,niveau,heures_etude,note_sql,note_python,salaire_stage
380,Mariam,Camara,19,Abidjan,Intermédiaire,6.1,8.4,7.7,80483
315,Ibrahim,Doumbia,35,Abidjan,Intermédiaire,4.4,4.5,6.8,87961
464,Boubacar,Bamba,43,Abidjan,Intermédiaire,7.6,9.0,9.4,74688
128,Bakary,Barry,21,Abidjan,Intermédiaire,7.9,4.6,4.0,62421
83,Rokia,Sow,25,Dakar,Avancé,8.3,30.0,13.2,96271
468,Assitan,Sangare,28,Bamako,Intermédiaire,8.6,5.8,5.8,80926
186,Youssouf,Ouattara,21,Accra,Avancé,9.8,12.6,11.5,92136
28,Kofi,Cisse,40,Dakar,Avancé,7.2,6.1,7.2,110517
90,Hawa,Sangare,40,Abidjan,Débutant,11.8,16.3,17.2,57640
487,Kofi,Sow,32,Cotonou,Débutant,0.0,0.0,1.0,43214
74,Ramatoulaye,Ouattara,31,Dakar,Débutant,3.3,1.6,2.9,51114
250,Aminata,Sylla,39,Abidjan,Intermédiaire,5.7,3.8,5.4,66148
172,Fatou,Yao,31,Bamako,Intermédiaire,5.1,8.0,6.3,75394
162,Lamine,Toure,37,Accra,Intermédiaire,8.5,12.3,11.0,72773
70,Djeneba,Sylla,22,Accra,Intermédiaire,12.9,12.2,16.3,85820
295,Moussa,Sylla,19,ABIDJAN,Intermédiaire,10.9,11.3,11.3,85361
92,Coumba,Camara,18,Abidjan,Avancé,10.6,12.4,12.5,103672
378,Adama,Diakite,23,Accra,Intermédiaire,6.4,10.4,7.4,74082
490,Kofi,Sylla,20,Lomé,Avancé,11.7,14.8,17.2,107402
386,Awa,Sow,39,Ouagadougou,Débutant,8.7,9.4,10.1,33884
126,Cheikh,Coulibaly,40,Lomé,Avancé,6.2,7.7,8.1,113124
246,Mariam,Yao,44,Abidjan,Avancé,10.3,7.8,10.7,98278
275,Oumou,Camara,34,Abidjan,Avancé,12.8,17.1,17.7,101435
60,Ousmane,Coulibaly,18,LOMÉ,Débutant,14.2,13.8,14.4,60071
121,Djeneba,Cisse,23,Ouagadougou,Débutant,5.0,8.3,10.1,51605
13,Adama,Doumbia,43,Dakar,Intermédiaire,7.7,7.7,8.1,69685
474,Nafissatou,Camara,20,Ouagadougou,Avancé,5.7,9.4,6.0,95944
268,Hawa,Toure,37,Accra,Débutant,3.2,7.1,11.3,55136
478,Djeneba,Keita,32,Bamako,Avancé,7.4,10.4,9.5,104209
294,Lamine,Kone,35,Abidjan,Débutant,8.7,8.0,7.1,44717
311,Fatou,Diarra,19,Accra,Intermédiaire,10.9,12.5,14.4,73501
158,Kofi,Ouattara,43,Accra,Avancé,13.8,16.0,,106849
343,Hawa,Kone,21,Conakry,Intermédiaire,10.9,6.7,13.3,78017
187,Youssouf,Toure,33,Abidjan,Débutant,5.2,7.4,4.8,43780
271,Awa,Toure,37,Abidjan,Débutant,3.3,6.1,7.3,56550
274,Modibo,Sangare,25,Dakar,Avancé,8.4,11.9,13.5,114202
415,Fatou,Keita,19,Dakar,Intermédiaire,5.3,6.4,5.5,96841
215,Cheikh,Diakite,18,Conakry,Débutant,6.0,3.0,4.7,62528
456,Awa,Fofana,19,Bamako,Avancé,10.1,13.7,13.2,117511
410,Oumou,Sylla,31,Abidjan,Intermédiaire,7.9,3.7,,79282
425,Ibrahim,Coulibaly,23,Cotonou,Avancé,9.6,10.7,11.8,110493
89,Kofi,Bamba,18,Abidjan,Intermédiaire,6.7,,2.1,66657
325,Awa,Cisse,25,Bamako,Intermédiaire,10.4,6.7,5.7,74930
132,Souleymane,Sow,22,Accra,Débutant,9.6,12.4,10.9,53387
125,Ramatoulaye,Toure,44,Dakar,Débutant,1.6,3.7,2.1,53733
175,Youssouf,Coulibaly,43,Abidjan,Intermédiaire,1.5,4.2,5.9,77810
319,Assitan,Diakite,42,Abidjan,Avancé,12.2,11.6,12.8,96042
192,Salif,Coulibaly,25,Abidjan,Avancé,13.5,16.1,16.8,86839
15,Oumou,Diakite,200,Ouagadougou,Intermédiaire,5.4,7.4,4.2,78467
405,Fatou,Toure,24,Lomé,Débutant,8.8,8.1,7.3,44030
450,Ramatoulaye,Sangare,30,Accra,Intermédiaire,9.5,10.5,11.4,69518
124,Ramatoulaye,Diakite,22,Abidjan,Intermédiaire,7.6,7.5,9.5,67719
139,Oumou,Camara,32,Ouagadougou,Intermédiaire,11.7,,7.5,75732
112,Hawa,Ouattara,27,Accra,Débutant,15.8,15.4,12.7,45689
52,Lamine,Diallo,38,Abidjan,Débutant,8.3,,12.3,46038
426,Ibrahim,Keita,19,Cotonou,Intermédiaire,9.9,6.8,9.9,82688
113,Mariam,Sangare,37,Abidjan,Intermédiaire,9.7,,11.6,79081
10,Djeneba,Cisse,29,Bamako,Intermédiaire,8.9,8.9,9.3,89665
20,Awa,Sylla,28,Accra,Intermédiaire,5.6,7.9,8.2,76231
17,Moussa,Traore,28,Conakry,Intermédiaire,7.3,4.0,7.9,56599
273,Aminata,Yao,39,Bamako,Avancé,6.6,6.4,4.8,100061
1,Sekou,Diarra,23,Abidjan,Intermédiaire,4.5,3.0,3.5,74510
356,Fatou,Konan,175,Bamako,Débutant,7.7,7.5,7.1,30920
106,Youssouf,Keita,23,Abidjan,Intermédiaire,9.4,9.8,9.9,74650
373,Coumba,Sangare,40,Dakar,Avancé,13.2,15.4,15.1,95847
408,Fanta,Kone,39,Dakar,Avancé,6.9,6.4,6.4,119135
493,Mariam,Traore,34,Dakar,Débutant,10.4,8.7,14.6,58622
446,Awa,Sow,42,Conakry,Intermédiaire,10.6,10.6,10.0,63765
231,Souleymane,Sangare,26,  Abidjan  ,Avancé,8.4,7.5,8.6,116647
433,Kofi,Konan,40,Accra,Intermédiaire,9.8,10.1,12.8,71028
71,Boubacar,Doumbia,22,Ouagadougou,Avancé,9.0,10.6,9.9,96504
326,Salif,Traore,39,Cotonou,Débutant,2.8,6.3,3.3,47844
258,Coumba,Diarra,18,Abidjan,Intermédiaire,5.7,6.0,5.7,71744
286,Fatou,Barry,33,Dakar,Intermédiaire,6.0,7.8,10.3,76825
39,Amadou,Cisse,34,Bamako,Débutant,3.2,6.9,5.9,41680
151,Djeneba,Sylla,30,Abidjan,Intermédiaire,8.8,10.0,,87754
351,Souleymane,Barry,35,Abidjan,Intermédiaire,6.6,8.5,10.3,76430
465,Awa,Konan,38,Bamako,Intermédiaire,5.6,4.9,5.6,75180
164,Oumou,Doumbia,27,,Avancé,9.5,11.7,10.7,124526
168,Mariam,Camara,25,Cotonou,Intermédiaire,7.3,10.5,8.0,78076
486,Lamine,Kone,21,Dakar,Intermédiaire,4.1,5.6,6.3,82836
207,Cheikh,Diallo,22,Dakar,Intermédiaire,5.2,5.2,,500000
245,Ibrahim,Diakite,28,Dakar,Intermédiaire,3.5,4.4,3.0,64574
189,Bineta,Ouattara,22,Accra,Intermédiaire,6.4,11.4,8.6,79969
440,Aminata,Sylla,23,Accra,Débutant,10.8,13.5,11.6,64473
481,Rokia,Bamba,39,Abidjan,Avancé,9.9,9.8,12.3,104823
146,Fatou,Sylla,25,Dakar,Intermédiaire,9.0,13.7,12.1,87292
278,Modibo,Keita,30,Accra,Intermédiaire,5.3,7.9,7.3,57069
436,Fatou,Fofana,39,Abidjan,Intermédiaire,8.6,9.7,5.1,75867
454,Boubacar,Fofana,43,Abidjan,Avancé,10.3,10.9,9.6,105287
352,Assitan,Fofana,24,Conakry,Intermédiaire,8.0,11.4,11.1,83496
402,Moussa,Sylla,19,  Abidjan  ,Avancé,8.3,5.3,6.4,102274
413,Awa,Cisse,43,Dakar,Intermédiaire,2.7,2.9,0.4,80153
308,Adama,Keita,27,Abidjan,Intermédiaire,4.9,5.9,10.0,83282
287,Salif,Sangare,25,Accra,Intermédiaire,8.5,9.3,11.0,68299
401,Ousmane,Traore,25,Conakry,Intermédiaire,11.3,9.1,9.6,71506
176,Rokia,Sangare,30,Ouagadougou,Débutant,10.5,8.5,12.9,28674
420,Coumba,Doumbia,35,Abidjan,Débutant,17.4,19.3,19.1,47605
366,Awa,Diarra,22,Dakar,Débutant,9.1,10.0,9.3,40574
230,Ramatoulaye,Keita,43,Dakar,Débutant,7.5,,8.3,63035
284,Aminata,Traore,34,Abidjan,Débutant,8.2,11.8,9.2,52693
229,Lamine,Diallo,38,Dakar,Débutant,14.5,12.3,11.1,40246
101,Bineta,Diallo,25,Dakar,Intermédiaire,14.2,11.6,13.9,73763
411,Mariam,Sow,21,Abidjan,Avancé,11.4,10.7,10.4,107200
54,Souleymane,Traore,28,Bamako,Débutant,0.0,0.0,1.7,56041
228,Djeneba,Coulibaly,42,Conakry,Intermédiaire,5.5,9.7,11.3,75176
476,Bineta,Kone,0,Bamako,Intermédiaire,5.2,3.1,2.6,76987
222,Kadiatou,Sangare,32,Dakar,Intermédiaire,11.9,14.4,15.6,74777
155,Ousmane,Diakite,36,,Intermédiaire,10.6,15.6,19.1,87182
252,Salif,Fofana,42,  Abidjan  ,Intermédiaire,12.0,16.3,15.6,88033
276,Modibo,Sangare,24,Dakar,Intermédiaire,10.7,12.3,11.2,75977
159,Fatou,Toure,28,Cotonou,Intermédiaire,5.0,8.0,7.4,69283
272,Modibo,Diallo,39,Abidjan,Débutant,10.7,12.7,13.5,58108
45,Youssouf,Diakite,40,Cotonou,Débutant,5.0,2.5,0.0,69204
492,Modibo,Diakite,28,Dakar,Intermédiaire,6.5,4.9,3.3,83021
114,Boubacar,Ouattara,32,Abidjan,Intermédiaire,9.0,15.5,12.7,80508
324,Djeneba,Sylla,44,Cotonou,Avancé,10.4,9.5,6.2,102107
212,Ramatoulaye,Sow,39,Bamako,Débutant,11.0,,11.2,35259
109,Lamine,Cisse,24,Ouagadougou,Intermédiaire,7.4,4.4,3.9,77587
170,Amadou,Keita,32,Cotonou,Débutant,13.7,15.8,17.0,63522
80,Mariam,Bamba,42,Conakry,Débutant,5.7,4.4,3.1,47158
482,Oumou,Sow,22,Bamako,Intermédiaire,4.3,3.9,0.0,74119
85,Moussa,Yao,25,Abidjan,Intermédiaire,10.8,12.0,12.6,55218
9,Sekou,Diallo,34,Lomé,Débutant,5.0,3.4,7.2,56871
33,Djeneba,Sow,25,Bamako,Débutant,10.4,13.4,11.5,47025
100,Kofi,Diallo,38,Abidjan,Intermédiaire,9.3,14.7,11.8,78701
444,Salif,Sangare,29,conakry,Débutant,3.9,9.6,3.8,66406
419,Salif,Doumbia,23,Abidjan,Intermédiaire,1.6,,2.2,74071
223,Kadiatou,Sangare,26,Dakar,Intermédiaire,12.9,16.0,14.7,78221
29,Ramatoulaye,Ouattara,27,abidjan,Avancé,8.2,2.6,6.8,112291
288,Hawa,Bamba,36,ABIDJAN,Intermédiaire,9.3,,12.3,86717
377,Assitan,Kone,22,Abidjan,Avancé,2.6,5.9,4.1,95010
56,Aminata,Cisse,19,Lomé,Intermédiaire,10.7,9.6,10.1,60206
485,Coumba,Yao,43,Conakry,Débutant,12.1,13.4,12.6,31482
398,Awa,Toure,34,  Accra  ,Intermédiaire,3.5,5.3,4.4,78883
418,Amadou,Fofana,28,Bamako,Avancé,12.1,18.9,19.4,103886
49,Hawa,Toure,29,Abidjan,Débutant,8.5,6.4,8.2,43043
421,Lamine,Traore,38,Abidjan,Avancé,11.2,25.0,13.3,121168
361,Aminata,Sylla,21,Cotonou,Intermédiaire,9.7,10.7,14.5,79293
34,Coumba,Konan,19,Ouagadougou,Débutant,4.2,4.9,9.6,63120
36,Kadiatou,Yao,18,  Accra  ,Avancé,3.9,4.6,7.1,111941
64,Souleymane,Camara,28,Accra,Intermédiaire,12.1,12.4,12.8,67809
407,Boubacar,Fofana,39,Conakry,Intermédiaire,9.9,10.4,10.9,70878
313,Ramatoulaye,Diakite,40,Cotonou,Débutant,6.1,8.0,8.1,44753
235,Fatou,Konan,43,Abidjan,Débutant,6.1,5.1,6.7,42180
500,Bakary,Bamba,19,,Avancé,6.5,22.0,7.8,107785
46,Hawa,Sylla,20,Cotonou,Débutant,8.2,6.3,2.8,37771
304,Assitan,Sylla,40,Accra,Avancé,2.4,,3.1,102902
178,Fatou,Coulibaly,35,Abidjan,Intermédiaire,7.7,5.9,11.7,73418
220,Ramatoulaye,Coulibaly,32,Abidjan,Intermédiaire,10.9,10.0,10.1,95421
390,Awa,Diakite,27,Abidjan,Débutant,7.1,8.0,9.8,54625
297,Adama,Diallo,34,Abidjan,Débutant,6.2,8.2,10.7,40299
22,Boubacar,Diarra,18,Lomé,Débutant,7.2,9.7,7.7,37008
249,Hawa,Toure,36,Ouagadougou,Débutant,7.1,8.2,8.9,53164
310,Fanta,Bamba,31,,Intermédiaire,5.4,3.0,6.6,70371
200,Lamine,Bamba,25,Dakar,Avancé,4.8,3.9,1.5,108406
138,Mariam,Keita,30,Abidjan,Intermédiaire,7.0,8.9,10.8,75729
25,Kadiatou,Kone,41,Bamako,Intermédiaire,0.7,0.2,1.4,53101
185,Ousmane,Fofana,29,Cotonou,Débutant,10.2,11.1,,33620
206,Moussa,Sangare,31,Abidjan,Intermédiaire,11.5,10.4,,76681
135,Oumou,Toure,18,Abidjan,Avancé,6.8,7.2,4.9,98570
300,Modibo,Keita,36,Bamako,Avancé,8.3,11.7,9.0,113798
117,Nafissatou,Diakite,37,Lomé,Débutant,9.0,6.4,5.8,51494
213,Kofi,Sow,40,Abidjan,Intermédiaire,0.0,2.4,,69141
462,Modibo,Diarra,21,Dakar,Intermédiaire,5.8,6.8,6.5,78606
438,Youssouf,Diarra,44,Ouagadougou,Intermédiaire,6.8,9.1,7.0,76916
362,Amadou,Bamba,35,Lomé,Intermédiaire,7.1,8.4,7.3,78796
232,Sekou,Sylla,20,Lomé,Intermédiaire,9.7,10.2,11.5,69471
218,Boubacar,Diarra,36,Abidjan,Intermédiaire,12.1,13.4,14.3,55311
57,Salif,Sangare,29,Abidjan,Débutant,0.9,4.3,1.8,62592
471,Lamine,Diallo,44,Cotonou,Intermédiaire,10.0,9.9,9.0,70117
404,Moussa,Sangare,42,DAKAR,Intermédiaire,6.8,9.5,9.3,87302
376,Oumou,Camara,22,  Dakar  ,Intermédiaire,9.5,9.8,7.4,66551
374,Oumou,Kone,29,Cotonou,Débutant,14.7,19.8,18.6,52185
182,Rokia,Kone,25,Lomé,Intermédiaire,6.7,7.1,8.0,73937
